Temperature,Denaturant,Rate,Rate_corrected
278.0,2.267305941963732,9949289.778543288,9944411.002399469
279.875,2.1572796835661925,9950026.397713158,9945415.070842719
281.75,2.0305047514219297,9950801.29116413,9946489.437505784
283.625,1.8870926068563492,9951613.392255351,9947632.180308938
285.5,1.7271532374560554,9952461.666848829,9948841.436070552
287.375,1.550795186105681,9953345.112144684,9950115.39836742
289.25,1.3581255792670497,9954262.755565064,9951452.315485967
291.125,1.1492501545246732,9955213.653684331,9952850.488459945
293.0,0.9242732874219846,9956196.891203398,9954308.269190399
294.875,0.6832980176104285,9957211.579966044,9955824.058643974
296.75,0.42642607433341606,9958256.858015308,9957396.305125777
298.625,0.15375790126645703,9959331.888688067,9959023.5026233
300.5,-0.13460731926728897,9960435.859746015,9960704.189218001
302.375,-0.43857164268474236,9961567.982541384,9962436.945561433
304.25,-0.7580383391176564,9962727.491215829,9964220.393412841
306.125,-1.0929118709536827,9963913.64193092,9966053.194235437
308.0,-1.4430978709285636,9965125.712128878,9967934.04784863
309.875,-1.8085031207517992,9966362.999822147,9969861.69113366
311.75,-2.189035530248821,9967624.822910521,9971834.896790192
313.625,-2.5846041170062173,9968910.518524628,9973852.472141603
315.5,-2.9951189865024332,9970219.442394577,9975913.257986736
317.375,-3.4204913127121017,9971550.968242688,9978016.127496075
319.25,-3.860633319167519,9972904.487199225,9980159.985150363
321.125,-4.31545826046587,9974279.407240182,9982343.765719788
323.0,-4.7848804042083755,9975675.152646119,9984566.43328197
